Ticker,In_SP500,In_NASDAQ100
IP,True,False
CVNA,True,False
MAS,True,False
WYNN,True,False
COP,True,False
APO,True,False
DOC,True,False
GIS,True,False
LYB,True,False
TSLA,True,False
DOW,True,False
LMT,True,False
NWSA,True,False
ZTS,True,False
BEN,True,False
NFLX,True,False
JBL,True,False
TXN,True,False
SO,True,False
EXR,True,False
ARE,True,False
NWS,True,False
SYY,True,False
BR,True,False
BAX,True,False
LVS,True,False
MCK,True,False
WEC,True,False
AWK,True,False
NTRS,True,False
EIX,True,False
TMO,True,False
VLO,True,False
LW,True,False
BRO,True,False
SHW,True,False
HSY,True,False
SBAC,True,False
PLTR,True,False
SNA,True,False
CB,True,False
JKHY,True,False
A,True,False
SLB,True,False
PG,True,False
UDR,True,False
T,True,False
ESS,True,False
ZBH,True,False
CF,True,False
GLW,True,False
REG,True,False
ACN,True,False
ACGL,True,False
TSCO,True,False
STZ,True,False
PSKY,True,False
ITW,True,False
KKR,True,False
PRU,True,False
TJX,True,False
SNPS,True,False
MA,True,False
WFC,True,False
ORCL,True,False
CRWD,True,False
PNC,True,False
VLTO,True,False
DECK,True,False
VZ,True,False
ALB,True,False
TER,True,False
DLR,True,False
ES,True,False
DD,True,False
NOC,True,False
LEN,True,False
TTD,True,False
EW,True,False
FFIV,True,False
RF,True,False
TDG,True,False
MSFT,True,False
CBOE,True,False
AMZN,True,False
SPGI,True,False
DDOG,True,False
KLAC,True,False
FAST,True,False
DVA,True,False
BBY,True,False
DGX,True,False
SRE,True,False
UNH,True,False
PEP,True,False
ALL,True,False
AVGO,True,False
TRGP,True,False
SCHW,True,False
CPAY,True,False
CVX,True,False
EVRG,True,False
EQR,True,False
PLD,True,False
HBAN,True,False
ERIE,True,False
OMC,True,False
SPG,True,False
PYPL,True,False
WRB,True,False
CTSH,True,False
AVY,True,False
ABBV,True,False
ECL,True,False
CARR,True,False
CTRA,True,False
ARES,True,False
KIM,True,False
IFF,True,False
MPWR,True,False
GEV,True,False
INVH,True,False
RVTY,True,False
BSX,True,False
BAC,True,False
GEN,True,False
WTW,True,False
ISRG,True,False
PWR,True,False
TYL,True,False
VST,True,False
HAL,True,False
PGR,True,False
WY,True,False
AXP,True,False
TRV,True,False
AOS,True,False
APA,True,False
SYK,True,False
PANW,True,False
HOOD,True,False
CAG,True,False
KO,True,False
EFX,True,False
CDW,True,False
WM,True,False
NDAQ,True,False
NEM,True,False
VRSK,True,False
NKE,True,False
UNP,True,False
BIIB,True,False
BK,True,False
PNR,True,False
ORLY,True,False
ADBE,True,False
EXC,True,False
FOXA,True,False
IVZ,True,False
BKNG,True,False
TTWO,True,False
SWKS,True,False
OTIS,True,False
IDXX,True,False
FDS,True,False
MOS,True,False
AJG,True,False
BX,True,False
FE,True,False
ADSK,True,False
FCX,True,False
PEG,True,False
ALGN,True,False
HII,True,False
DHR,True,False
HUM,True,False
IBKR,True,False
DAY,True,False
PTC,True,False
PSA,True,False
AMGN,True,False
CAT,True,False
CCI,True,False
DE,True,False
APH,True,False
ROST,True,False
CHD,True,False
CNP,True,False
MDLZ,True,False
AMCR,True,False
ROK,True,False
SW,True,False
AAPL,True,False
CAH,True,False
MRK,True,False
CBRE,True,False
AVB,True,False
MTB,True,False
ANET,True,False
GS,True,False
UAL,True,False
COO,True,False
VRSN,True,False
PKG,True,False
LNT,True,False
LOW,True,False
MSI,True,False
WBD,True,False
TEL,True,False
SBUX,True,False
WMB,True,False
TECH,True,False
FDX,True,False
SNDK,True,False
ADI,True,False
LH,True,False
MLM,True,False
CDNS,True,False
BDX,True,False
EOG,True,False
ETN,True,False
USB,True,False
CNC,True,False
EG,True,False
FIX,True,False
MCHP,True,False
WST,True,False
AIG,True,False
TT,True,False
TMUS,True,False
L,True,False
CHTR,True,False
LYV,True,False
DOV,True,False
CCL,True,False
ELV,True,False
BF-B,True,False
ON,True,False
ROL,True,False
V,True,False
ABNB,True,False
LHX,True,False
AON,True,False
ABT,True,False
POOL,True,False
ODFL,True,False
CSGP,True,False
ZBRA,True,False
WDC,True,False
PFE,True,False
RJF,True,False
OKE,True,False
MRSH,True,False
BRK-B,True,False
GILD,True,False
TSN,True,False
AMP,True,False
ETR,True,False
XYL,True,False
APD,True,False
KHC,True,False
AME,True,False
CPB,True,False
MMM,True,False
UHS,True,False
HLT,True,False
FOX,True,False
CLX,True,False
TGT,True,False
EXE,True,False
CRM,True,False
MET,True,False
XOM,True,False
PODD,True,False
CHRW,True,False
IQV,True,False
MPC,True,False
LDOS,True,False
GDDY,True,False
CME,True,False
AEE,True,False
TPL,True,False
XEL,True,False
DVN,True,False
FTV,True,False
LIN,True,False
ICE,True,False
PM,True,False
EXPD,True,False
NTAP,True,False
D,True,False
TAP,True,False
ADM,True,False
TPR,True,False
PAYC,True,False
TROW,True,False
RCL,True,False
AFL,True,False
GPC,True,False
BMY,True,False
ALLE,True,False
GRMN,True,False
VMC,True,False
BLK,True,False
MDT,True,False
AEP,True,False
GM,True,False
TFC,True,False
JCI,True,False
URI,True,False
EPAM,True,False
XYZ,True,False
MU,True,False
HUBB,True,False
RMD,True,False
NDSN,True,False
AES,True,False
WDAY,True,False
CRH,True,False
LUV,True,False
STT,True,False
GOOG,True,False
HPE,True,False
LII,True,False
HON,True,False
NOW,True,False
PHM,True,False
MCD,True,False
SYF,True,False
NRG,True,False
FISV,True,False
DELL,True,False
META,True,False
ROP,True,False
RTX,True,False
MRNA,True,False
IEX,True,False
STE,True,False
KEY,True,False
MKC,True,False
LLY,True,False
PH,True,False
APTV,True,False
QCOM,True,False
CPRT,True,False
GPN,True,False
CSCO,True,False
CI,True,False
KDP,True,False
FSLR,True,False
PNW,True,False
AMT,True,False
HOLX,True,False
Q,True,False
MAR,True,False
REGN,True,False
GOOGL,True,False
HST,True,False
FICO,True,False
TKO,True,False
KMB,True,False
YUM,True,False
VICI,True,False
HCA,True,False
HWM,True,False
PCG,True,False
RSG,True,False
COR,True,False
CPT,True,False
APP,True,False
FITB,True,False
PPG,True,False
HAS,True,False
DTE,True,False
COF,True,False
MAA,True,False
VRTX,True,False
PPL,True,False
